identifier,ea7b1d79-881a-4bf5-9f64-7e89398c2838,
value,0,
dataTime,2007/11/29,
value,0,
dataTime,2007/11/30,
value,0,
parameterName,total,
parameterValue,48.5,
dataTime,2007/12/1,
value,0,
dataTime,2007/12/2,
value,0,
dataTime,2007/12/3,
value,0,
dataTime,2007/12/4,
value,0,
dataTime,2007/12/5,
value,0,
dataTime,2007/12/6,
value,0,
dataTime,2007/12/7,
value,0,
dataTime,2007/12/8,
value,0,
dataTime,2007/12/9,
value,0,
dataTime,2007/12/10,
value,0,
dataTime,2007/12/11,
value,0,
dataTime,2007/12/12,
value,0,
dataTime,2007/12/13,
value,1.1,
dataTime,2007/12/14,
value,0,
dataTime,2007/12/15,
value,0,
dataTime,2007/12/16,
value,0,
dataTime,2007/12/17,
value,0,
dataTime,2007/12/18,
value,0,
dataTime,2007/12/19,
value,1.8,
dataTime,2007/12/20,
value,0,
dataTime,2007/12/21,
value,0,
dataTime,2007/12/22,
value,0,
dataTime,2007/12/23,
value,30.1,
dataTime,2007/12/24,
value,14.5,
dataTime,2007/12/25,
value,0,
dataTime,2007/12/26,
value,0,
dataTime,2007/12/27,
value,0,
dataTime,2007/12/28,
value,0,
dataTime,2007/12/29,
value,0,
dataTime,2007/12/30,
value,0,
dataTime,2007/12/31,
value,0,
parameterName,total,
parameterValue,47.5,
locationName,"PENGJIAYU,ÂΩ≠‰Ω≥Â∂?
stationId,466950
elementName,ÊØèÊó•?®È?
dataTime,2007-01-01
value,2.2
dataTime,2007-01-02
value,0.0
dataTime,2007-01-03
value,36.0
dataTime,2007-01-04
value,8.0
dataTime,2007-01-05
value,0.4
dataTime,2007-01-06
value,1.3
dataTime,2007-01-07
value,0.0
dataTime,2007-01-08
value,0.0
dataTime,2007-01-09
value,0.0
dataTime,2007-01-10
value,0.0
dataTime,2007-01-11
value,12.5
dataTime,2007-01-12
value,13.5
dataTime,2007-01-13
value,0.5
dataTime,2007-01-14
value,0.5
dataTime,2007-01-15
value,0.0
dataTime,2007-01-16
value,0.0
dataTime,2007-01-17
value,25.5
dataTime,2007-01-18
value,5.1
dataTime,2007-01-19
value,23.5
dataTime,2007-01-20
value,14.5
dataTime,2007-01-21
value,6.6
dataTime,2007-01-22
value,3.5
dataTime,2007-01-23
value,10.0
dataTime,2007-01-24
value,0.0
dataTime,2007-01-25
value,0.0
dataTime,2007-01-26
value,6.1
dataTime,2007-01-27
value,0.0
dataTime,2007-01-28
value,0.0
dataTime,2007-01-29
value,0.0
dataTime,2007-01-30
value,0.0
dataTime,2007-01-31
value,0.0
parameterName,total
parameterValue,169.7
dataTime,2007-02-01
value,0.0
dataTime,2007-02-02
value,0.0
dataTime,2007-02-03
value,0.0
dataTime,2007-02-04
value,0.0
dataTime,2007-02-05
value,0.0
dataTime,2007-02-06
value,0.0
dataTime,2007-02-07
value,0.0
dataTime,2007-02-08
value,0.0
dataTime,2007-02-09
value,0.0
dataTime,2007-02-10
value,1.0
dataTime,2007-02-11
value,0.0
dataTime,2007-02-12
value,0.0
dataTime,2007-02-13
value,0.0
dataTime,2007-02-14
value,0.0
dataTime,2007-02-15
value,0.0
dataTime,2007-02-16
value,3.1
dataTime,2007-02-17
value,0.0
dataTime,2007-02-18
value,5.5
dataTime,2007-02-19
value,37.5
dataTime,2007-02-20
value,12.1
dataTime,2007-02-21
value,11.0
dataTime,2007-02-22
value,9.0
dataTime,2007-02-23
value,0.0
dataTime,2007-02-24
value,15.0
dataTime,2007-02-25
value,12.5
dataTime,2007-02-26
value,0.0
dataTime,2007-02-27
value,2.1
dataTime,2007-02-28
value,0.3
parameterName,total
parameterValue,109.1
dataTime,2007-03-01
value,4.7
dataTime,2007-03-02
value,0.8
dataTime,2007-03-03
value,0.0
dataTime,2007-03-04
value,25.1
dataTime,2007-03-05
value,7.5
dataTime,2007-03-06
value,3.1
dataTime,2007-03-07
value,13.5
dataTime,2007-03-08
value,29.8
dataTime,2007-03-09
value,17.7
dataTime,2007-03-10
value,3.5
dataTime,2007-03-11
value,9.3
dataTime,2007-03-12
value,12.6
dataTime,2007-03-13
value,0.5
dataTime,2007-03-14
value,0.0
dataTime,2007-03-15
value,0.0
dataTime,2007-03-16
value,0.0
dataTime,2007-03-17
value,0.0
dataTime,2007-03-18
value,2.0
dataTime,2007-03-19
value,5.5
dataTime,2007-03-20
value,0.5
dataTime,2007-03-21
value,0.0
dataTime,2007-03-22
value,0.0
dataTime,2007-03-23
value,0.0
dataTime,2007-03-24
value,34.4
dataTime,2007-03-25
value,0.0
dataTime,2007-03-26
value,4.5
dataTime,2007-03-27
value,31.7
dataTime,2007-03-28
value,0.0
dataTime,2007-03-29
value,0.0
dataTime,2007-03-30
value,0.0
dataTime,2007-03-31
value,0.4
parameterName,total
parameterValue,207.1
dataTime,2007-04-01
value,15.6
dataTime,2007-04-02
value,3.0
dataTime,2007-04-03
value,3.3
dataTime,2007-04-04
value,0.7
dataTime,2007-04-05
value,5.3
dataTime,2007-04-06
value,9.5
dataTime,2007-04-07
value,0.0
dataTime,2007-04-08
value,1.6
dataTime,2007-04-09
value,0.0
dataTime,2007-04-10
value,43.5
dataTime,2007-04-11
value,0.0
dataTime,2007-04-12
value,0.0
dataTime,2007-04-13
value,0.0
dataTime,2007-04-14
value,0.0
dataTime,2007-04-15
value,5.0
dataTime,2007-04-16
value,0.0
dataTime,2007-04-17
value,1.6
dataTime,2007-04-18
value,28.0
dataTime,2007-04-19
value,0.0
dataTime,2007-04-20
value,0.0
dataTime,2007-04-21
value,0.0
dataTime,2007-04-22
value,0.0
dataTime,2007-04-23
value,17.5
dataTime,2007-04-24
value,8.6
dataTime,2007-04-25
value,0.0
dataTime,2007-04-26
value,0.0
dataTime,2007-04-27
value,0.0
dataTime,2007-04-28
value,0.0
dataTime,2007-04-29
value,5.9
dataTime,2007-04-30
value,0.5
parameterName,total
parameterValue,149.6
dataTime,2007-05-01
value,0.0
dataTime,2007-05-02
value,0.0
dataTime,2007-05-03
value,0.0
dataTime,2007-05-04
value,0.3
dataTime,2007-05-05
value,46.5
dataTime,2007-05-06
value,0.0
dataTime,2007-05-07
value,0.0
dataTime,2007-05-08
value,0.0
dataTime,2007-05-09
value,0.0
dataTime,2007-05-10
value,0.0
dataTime,2007-05-11
value,0.0
dataTime,2007-05-12
value,0.0
dataTime,2007-05-13
value,0.0
dataTime,2007-05-14
value,0.0
dataTime,2007-05-15
value,0.0
dataTime,2007-05-16
value,0.0
dataTime,2007-05-17
value,0.0
dataTime,2007-05-18
value,5.3
dataTime,2007-05-19
value,0.0
dataTime,2007-05-20
value,4.8
dataTime,2007-05-21
value,0.0
dataTime,2007-05-22
value,0.0
dataTime,2007-05-23
value,0.0
dataTime,2007-05-24
value,0.0
dataTime,2007-05-25
value,0.0
dataTime,2007-05-26
value,0.0
dataTime,2007-05-27
value,0.0
dataTime,2007-05-28
value,0.0
dataTime,2007-05-29
value,0.0
dataTime,2007-05-30
value,0.0
dataTime,2007-05-31
value,0.0
parameterName,total
parameterValue,56.9
dataTime,2007-06-01
value,0.0
dataTime,2007-06-02
value,0.0
dataTime,2007-06-03
value,34.0
dataTime,2007-06-04
value,28.2
dataTime,2007-06-05
value,6.5
dataTime,2007-06-06
value,24.5
dataTime,2007-06-07
value,20.5
dataTime,2007-06-08
value,101.1
dataTime,2007-06-09
value,83.5
dataTime,2007-06-10
value,125.7
dataTime,2007-06-11
value,30.0
dataTime,2007-06-12
value,6.0
dataTime,2007-06-13
value,19.0
dataTime,2007-06-14
value,0.0
dataTime,2007-06-15
value,0.0
dataTime,2007-06-16
value,20.5
dataTime,2007-06-17
value,2.3
dataTime,2007-06-18
value,0.0
dataTime,2007-06-19
value,0.0
dataTime,2007-06-20
value,0.0
dataTime,2007-06-21
value,0.0
dataTime,2007-06-22
value,0.0
dataTime,2007-06-23
value,0.0
dataTime,2007-06-24
value,0.0
dataTime,2007-06-25
value,0.0
dataTime,2007-06-26
value,8.5
dataTime,2007-06-27
value,1.0
dataTime,2007-06-28
value,0.0
dataTime,2007-06-29
value,0.0
dataTime,2007-06-30
value,0.0
parameterName,total
parameterValue,511.3
dataTime,2007-07-01
value,0.0
dataTime,2007-07-02
value,0.0
dataTime,2007-07-03
value,0.0
dataTime,2007-07-04
value,0.0
dataTime,2007-07-05
value,0.0
dataTime,2007-07-06
value,0.0
dataTime,2007-07-07
value,0.0
dataTime,2007-07-08
value,0.0
dataTime,2007-07-09
value,0.0
dataTime,2007-07-10
value,0.0
dataTime,2007-07-11
value,0.0
dataTime,2007-07-12
value,0.0
dataTime,2007-07-13
value,0.4
dataTime,2007-07-14
value,0.0
dataTime,2007-07-15
value,0.0
dataTime,2007-07-16
value,0.0
dataTime,2007-07-17
value,0.0
dataTime,2007-07-18
value,0.0
dataTime,2007-07-19
value,0.0
dataTime,2007-07-20
value,0.0
dataTime,2007-07-21
value,0.0
dataTime,2007-07-22
value,0.0
dataTime,2007-07-23
value,0.0
dataTime,2007-07-24
value,0.0
dataTime,2007-07-25
value,0.0
dataTime,2007-07-26
value,0.0
dataTime,2007-07-27
value,0.0
dataTime,2007-07-28
value,0.0
dataTime,2007-07-29
value,0.0
dataTime,2007-07-30
value,0.0
dataTime,2007-07-31
value,0.0
parameterName,total
parameterValue,0.4
dataTime,2007-08-01
value,0.0
dataTime,2007-08-02
value,0.0
dataTime,2007-08-03
value,0.0
dataTime,2007-08-04
value,0.0
dataTime,2007-08-05
value,0.0
dataTime,2007-08-06
value,0.0
dataTime,2007-08-07
value,7.9
dataTime,2007-08-08
value,10.8
dataTime,2007-08-09
value,2.0
dataTime,2007-08-10
value,1.0
dataTime,2007-08-11
value,0.0
dataTime,2007-08-12
value,12.9
dataTime,2007-08-13
value,19.3
dataTime,2007-08-14
value,83.0
dataTime,2007-08-15
value,0.0
dataTime,2007-08-16
value,2.0
dataTime,2007-08-17
value,0.0
dataTime,2007-08-18
value,16.0
dataTime,2007-08-19
value,5.3
dataTime,2007-08-20
value,0.5
dataTime,2007-08-21
value,0.0
dataTime,2007-08-22
value,0.0
dataTime,2007-08-23
value,0.0
dataTime,2007-08-24
value,8.5
dataTime,2007-08-25
value,8.5
dataTime,2007-08-26
value,3.5
dataTime,2007-08-27
value,0.0
dataTime,2007-08-28
value,0.0
dataTime,2007-08-29
value,0.0
dataTime,2007-08-30
value,0.0
dataTime,2007-08-31
value,0.0
parameterName,total
parameterValue,181.2
dataTime,2007-09-01
value,0.0
dataTime,2007-09-02
value,0.0
dataTime,2007-09-03
value,0.0
dataTime,2007-09-04
value,10.0
dataTime,2007-09-05
value,8.6
dataTime,2007-09-06
value,0.0
dataTime,2007-09-07
value,0.0
dataTime,2007-09-08
value,0.0
dataTime,2007-09-09
value,0.0
dataTime,2007-09-10
value,0.0
dataTime,2007-09-11
value,0.0
dataTime,2007-09-12
value,0.0
dataTime,2007-09-13
value,0.2
dataTime,2007-09-14
value,0.0
dataTime,2007-09-15
value,0.0
dataTime,2007-09-16
value,0.0
dataTime,2007-09-17
value,14.1
dataTime,2007-09-18
value,108.1
dataTime,2007-09-19
value,135.3
dataTime,2007-09-20
value,0.5
dataTime,2007-09-21
value,31.0
dataTime,2007-09-22
value,4.0
dataTime,2007-09-23
value,0.0
dataTime,2007-09-24
value,0.0
dataTime,2007-09-25
value,0.0
dataTime,2007-09-26
value,0.0
dataTime,2007-09-27
value,0.4
dataTime,2007-09-28
value,0.0
dataTime,2007-09-29
value,0.3
dataTime,2007-09-30
value,25.1
parameterName,total
parameterValue,337.6
dataTime,2007-10-01
value,2.6
dataTime,2007-10-02
value,0.7
dataTime,2007-10-03
value,0.5
dataTime,2007-10-04
value,2.3
dataTime,2007-10-05
value,2.6
dataTime,2007-10-06
value,137.0
dataTime,2007-10-07
value,20.6
dataTime,2007-10-08
value,0.0
dataTime,2007-10-09
value,0.7
dataTime,2007-10-10
value,0.0
dataTime,2007-10-11
value,0.0
dataTime,2007-10-12
value,1.2
dataTime,2007-10-13
value,0.0
dataTime,2007-10-14
value,0.0
dataTime,2007-10-15
value,0.2
dataTime,2007-10-16
value,0.0
dataTime,2007-10-17
value,0.0
dataTime,2007-10-18
value,0.0
dataTime,2007-10-19
value,0.0
dataTime,2007-10-20
value,0.0
dataTime,2007-10-21
value,0.0
dataTime,2007-10-22
value,0.0
dataTime,2007-10-23
value,1.0
dataTime,2007-10-24
value,0.2
dataTime,2007-10-25
value,0.0
dataTime,2007-10-26
value,0.0
dataTime,2007-10-27
value,0.0
dataTime,2007-10-28
value,0.0
dataTime,2007-10-29
value,0.0
dataTime,2007-10-30
value,1.2
dataTime,2007-10-31
value,0.1
parameterName,total
parameterValue,170.9
dataTime,2007-11-01
value,15.5
dataTime,2007-11-02
value,3.0
dataTime,2007-11-03
value,0.0
dataTime,2007-11-04
value,1.0
dataTime,2007-11-05
value,4.3
dataTime,2007-11-06
value,19.9
dataTime,2007-11-07
value,0.9
dataTime,2007-11-08
value,1.1
dataTime,2007-11-09
value,0.0
dataTime,2007-11-10
value,0.0
dataTime,2007-11-11
value,0.0
dataTime,2007-11-12
value,0.0
dataTime,2007-11-13
value,0.0
dataTime,2007-11-14
value,0.0
dataTime,2007-11-15
value,0.0
dataTime,2007-11-16
value,5.2
dataTime,2007-11-17
value,0.0
dataTime,2007-11-18
value,13.0
dataTime,2007-11-19
value,1.6
dataTime,2007-11-20
value,0.5
dataTime,2007-11-21
value,0.0
dataTime,2007-11-22
value,0.0
dataTime,2007-11-23
value,13.0
dataTime,2007-11-24
value,0.0
dataTime,2007-11-25
value,4.0
dataTime,2007-11-26
value,29.6
dataTime,2007-11-27
value,43.5
dataTime,2007-11-28
value,0.8
dataTime,2007-11-29
value,0.0
dataTime,2007-11-30
value,0.0
parameterName,total
parameterValue,156.9
dataTime,2007-12-01
value,0.0
dataTime,2007-12-02
value,0.1
dataTime,2007-12-03
value,0.0
dataTime,2007-12-04
value,0.0
dataTime,2007-12-05
value,0.1
dataTime,2007-12-06
value,2.9
dataTime,2007-12-07
value,0.0
dataTime,2007-12-08
value,0.0
dataTime,2007-12-09
value,0.4
dataTime,2007-12-10
value,3.5
dataTime,2007-12-11
value,0.0
dataTime,2007-12-12
value,0.0
dataTime,2007-12-13
value,0.0
dataTime,2007-12-14
value,0.0
dataTime,2007-12-15
value,0.0
dataTime,2007-12-16
value,0.0
dataTime,2007-12-17
value,0.0
dataTime,2007-12-18
value,0.2
dataTime,2007-12-19
value,1.1
dataTime,2007-12-20
value,2.6
dataTime,2007-12-21
value,0.4
dataTime,2007-12-22
value,0.7
dataTime,2007-12-23
value,9.0
dataTime,2007-12-24
value,2.7
dataTime,2007-12-25
value,0.0
dataTime,2007-12-26
value,0.0
dataTime,2007-12-27
value,0.0
dataTime,2007-12-28
value,0.0
dataTime,2007-12-29
value,0.6
dataTime,2007-12-30
value,0.0
dataTime,2007-12-31
value,0.0
parameterName,total
parameterValue,24.3
locationName,YUSHAN","?âÂ±±"""
stationId,467550,
elementName,ÊØèÊó•?®È?,
dataTime,2007/1/1,
value,0,
dataTime,2007/1/2,
value,0,
dataTime,2007/1/3,
value,8.9,
dataTime,2007/1/4,
value,9.2,
dataTime,2007/1/5,
value,0,
dataTime,2007/1/6,
value,0,
dataTime,2007/1/7,
value,0,
dataTime,2007/1/8,
value,0,
dataTime,2007/1/9,
value,0,
dataTime,2007/1/10,
value,0,
dataTime,2007/1/11,
value,0,
dataTime,2007/1/12,
value,0,
dataTime,2007/1/13,
value,0,
dataTime,2007/1/14,
value,0,
dataTime,2007/1/15,
value,0,
dataTime,2007/1/16,
value,0,
dataTime,2007/1/17,
value,5,
dataTime,2007/1/18,
value,60.5,
dataTime,2007/1/19,
value,48.5,
dataTime,2007/1/20,
value,0,
dataTime,2007/1/21,
value,1,
dataTime,2007/1/22,
value,0,
dataTime,2007/1/23,
value,0,
dataTime,2007/1/24,
value,0,
dataTime,2007/1/25,
value,0,
dataTime,2007/1/26,
value,0,
dataTime,2007/1/27,
value,4,
dataTime,2007/1/28,
value,5.5,
dataTime,2007/1/29,
value,0,
dataTime,2007/1/30,
value,0,
dataTime,2007/1/31,
value,0,
parameterName,total,
parameterValue,142.6,
dataTime,2007/2/1,
value,0,
dataTime,2007/2/2,
value,0,
dataTime,2007/2/3,
value,0,
dataTime,2007/2/4,
value,0,
dataTime,2007/2/5,
value,0,
dataTime,2007/2/6,
value,0,
dataTime,2007/2/7,
value,0,
dataTime,2007/2/8,
value,0,
dataTime,2007/2/9,
value,30,
dataTime,2007/2/10,
value,0,
dataTime,2007/2/11,
value,0,
dataTime,2007/2/12,
value,0,
dataTime,2007/2/13,
value,0,
dataTime,2007/2/14,
value,0,
dataTime,2007/2/15,
value,0,
dataTime,2007/2/16,
value,0,
dataTime,2007/2/17,
value,0,
dataTime,2007/2/18,
value,0,
dataTime,2007/2/19,
value,0,
dataTime,2007/2/20,
value,0,
dataTime,2007/2/21,
value,0,
dataTime,2007/2/22,
value,33.5,
dataTime,2007/2/23,
value,4.5,
dataTime,2007/2/24,
value,0,
dataTime,2007/2/25,
value,10,
dataTime,2007/2/26,
value,0,
dataTime,2007/2/27,
value,0,
dataTime,2007/2/28,
value,0,
parameterName,total,
parameterValue,78,
dataTime,2007/3/1,
value,0,
dataTime,2007/3/2,
value,0,
dataTime,2007/3/3,
value,0,
dataTime,2007/3/4,
value,1,
dataTime,2007/3/5,
value,6,
dataTime,2007/3/6,
value,3,
dataTime,2007/3/7,
value,6,
dataTime,2007/3/8,
value,3,
dataTime,2007/3/9,
value,0,
dataTime,2007/3/10,
value,0,
dataTime,2007/3/11,
value,0,
dataTime,2007/3/12,
value,0,
dataTime,2007/3/13,
value,0,
dataTime,2007/3/14,
value,0,
dataTime,2007/3/15,
value,0,
dataTime,2007/3/16,
value,0,
dataTime,2007/3/17,
value,0,
dataTime,2007/3/18,
value,0,
dataTime,2007/3/19,
value,4.6,
dataTime,2007/3/20,
value,0,
dataTime,2007/3/21,
value,0,
dataTime,2007/3/22,
value,0,
dataTime,2007/3/23,
value,0,
dataTime,2007/3/24,
value,12.5,
dataTime,2007/3/25,
value,2.2,
dataTime,2007/3/26,
value,0,
dataTime,2007/3/27,
value,1.7,
dataTime,2007/3/28,
value,0.5,
dataTime,2007/3/29,
value,0,
dataTime,2007/3/30,
value,0,
dataTime,2007/3/31,
value,0,
parameterName,total,
parameterValue,40.5,
dataTime,2007/4/1,
value,0,
dataTime,2007/4/2,
value,33.1,
dataTime,2007/4/3,
value,12.2,
dataTime,2007/4/4,
value,17.6,
dataTime,2007/4/5,
value,0.5,
dataTime,2007/4/6,
value,0.5,
dataTime,2007/4/7,
value,0.5,
dataTime,2007/4/8,
value,7.1,
dataTime,2007/4/9,
value,4.2,
dataTime,2007/4/10,
value,1.5,
dataTime,2007/4/11,
value,8.5,
dataTime,2007/4/12,
value,0,
dataTime,2007/4/13,
value,0,
dataTime,2007/4/14,
value,1.5,
dataTime,2007/4/15,
value,17.7,
dataTime,2007/4/16,
value,0,
dataTime,2007/4/17,
value,0,
dataTime,2007/4/18,
value,36,
dataTime,2007/4/19,
value,0,
dataTime,2007/4/20,
value,0,
dataTime,2007/4/21,
value,0,
dataTime,2007/4/22,
value,0,
dataTime,2007/4/23,
value,33,
dataTime,2007/4/24,
value,22,
dataTime,2007/4/25,
value,1.5,
dataTime,2007/4/26,
value,0,
dataTime,2007/4/27,
value,0,
dataTime,2007/4/28,
value,0,
dataTime,2007/4/29,
value,0,
dataTime,2007/4/30,
value,0.7,
parameterName,total,
parameterValue,198.1,
dataTime,2007/5/1,
value,5.5,
dataTime,2007/5/2,
value,0,
dataTime,2007/5/3,
value,0,
dataTime,2007/5/4,
value,0,
dataTime,2007/5/5,
value,35,
dataTime,2007/5/6,
value,7,
dataTime,2007/5/7,
value,0,
dataTime,2007/5/8,
value,0,
dataTime,2007/5/9,
value,0,
dataTime,2007/5/10,
value,0,
dataTime,2007/5/11,
value,0,
dataTime,2007/5/12,
value,0,
dataTime,2007/5/13,
value,0,
dataTime,2007/5/14,
value,0.5,
dataTime,2007/5/15,
value,0,
dataTime,2007/5/16,
value,0.5,
dataTime,2007/5/17,
value,8.7,
dataTime,2007/5/18,
value,3.4,
dataTime,2007/5/19,
value,68.6,
dataTime,2007/5/20,
value,110.8,
dataTime,2007/5/21,
value,25,
dataTime,2007/5/22,
value,17.5,
dataTime,2007/5/23,
value,8,
dataTime,2007/5/24,
value,0,
dataTime,2007/5/25,
value,0,
dataTime,2007/5/26,
value,0,
dataTime,2007/5/27,
value,0,
dataTime,2007/5/28,
value,9.5,
dataTime,2007/5/29,
value,9.8,
dataTime,2007/5/30,
value,8.8,
dataTime,2007/5/31,
value,1,
parameterName,total,
parameterValue,319.6,
dataTime,2007/6/1,
value,12.8,
dataTime,2007/6/2,
value,0.8,
dataTime,2007/6/3,
value,3.7,
dataTime,2007/6/4,
value,13.4,
dataTime,2007/6/5,
value,10.1,
dataTime,2007/6/6,
value,30,
dataTime,2007/6/7,
value,79.2,
dataTime,2007/6/8,
value,113.8,
dataTime,2007/6/9,
value,86.4,
dataTime,2007/6/10,
value,17.3,
dataTime,2007/6/11,
value,15.9,
dataTime,2007/6/12,
value,38.6,
dataTime,2007/6/13,
value,35.5,
dataTime,2007/6/14,
value,0,
dataTime,2007/6/15,
value,23.1,
dataTime,2007/6/16,
value,1.4,
dataTime,2007/6/17,
value,1.9,
dataTime,2007/6/18,
value,2.6,
dataTime,2007/6/19,
value,2,
dataTime,2007/6/20,
value,14.6,
dataTime,2007/6/21,
value,1.8,
dataTime,2007/6/22,
value,0,
dataTime,2007/6/23,
value,5.4,
dataTime,2007/6/24,
value,2.1,
dataTime,2007/6/25,
value,10.6,
dataTime,2007/6/26,
value,1.5,
dataTime,2007/6/27,
value,0,
dataTime,2007/6/28,
value,2.4,
dataTime,2007/6/29,
value,0,
dataTime,2007/6/30,
value,0.1,
parameterName,total,
parameterValue,527,
dataTime,2007/7/1,
value,16.6,
dataTime,2007/7/2,
value,16.5,
dataTime,2007/7/3,
value,4.5,
dataTime,2007/7/4,
value,4.1,
dataTime,2007/7/5,
value,0,
dataTime,2007/7/6,
value,0,
dataTime,2007/7/7,
value,0,
dataTime,2007/7/8,
value,0,
dataTime,2007/7/9,
value,0.8,
dataTime,2007/7/10,
value,0,
dataTime,2007/7/11,
value,11.2,
dataTime,2007/7/12,
value,0.1,
dataTime,2007/7/13,
value,0,
dataTime,2007/7/14,
value,1.4,
dataTime,2007/7/15,
value,4.9,
dataTime,2007/7/16,
value,1.6,
dataTime,2007/7/17,
value,6.1,
dataTime,2007/7/18,
value,0,
dataTime,2007/7/19,
value,0.2,
dataTime,2007/7/20,
value,3,
dataTime,2007/7/21,
value,5.5,
dataTime,2007/7/22,
value,4.2,
dataTime,2007/7/23,
value,3.4,
dataTime,2007/7/24,
value,0.5,
dataTime,2007/7/25,
value,0,
dataTime,2007/7/26,
value,0,
dataTime,2007/7/27,
value,0,
dataTime,2007/7/28,
value,3.4,
dataTime,2007/7/29,
value,21.4,
dataTime,2007/7/30,
value,3,
dataTime,2007/7/31,
value,9.4,
parameterName,total,
parameterValue,121.8,
dataTime,2007/8/1,
value,0,
dataTime,2007/8/2,
value,34.3,
dataTime,2007/8/3,
value,30.6,
dataTime,2007/8/4,
value,10,
dataTime,2007/8/5,
value,0.3,
dataTime,2007/8/6,
value,0,
dataTime,2007/8/7,
value,41,
dataTime,2007/8/8,
value,48.1,
dataTime,2007/8/9,
value,22.2,
dataTime,2007/8/10,
value,25.8,
dataTime,2007/8/11,
value,101.1,
dataTime,2007/8/12,
value,114.3,
dataTime,2007/8/13,
value,167.4,
dataTime,2007/8/14,
value,4.9,
dataTime,2007/8/15,
value,11,
dataTime,2007/8/16,
value,13.8,
dataTime,2007/8/17,
value,41.5,
dataTime,2007/8/18,
value,264,
dataTime,2007/8/19,
value,125,
dataTime,2007/8/20,
value,98.5,
dataTime,2007/8/21,
value,22,
dataTime,2007/8/22,
value,19.5,
dataTime,2007/8/23,
value,17.5,
dataTime,2007/8/24,
value,5,
dataTime,2007/8/25,
value,0,
dataTime,2007/8/26,
value,2,
dataTime,2007/8/27,
value,0,
dataTime,2007/8/28,
value,1,
dataTime,2007/8/29,
value,6,
dataTime,2007/8/30,
value,0,
dataTime,2007/8/31,
value,0.5,
parameterName,total,
parameterValue,1227.3,
dataTime,2007/9/1,
value,0,
dataTime,2007/9/2,
value,2,
dataTime,2007/9/3,
value,0,
dataTime,2007/9/4,
value,37,
dataTime,2007/9/5,
value,10,
dataTime,2007/9/6,
value,30.5,
dataTime,2007/9/7,
value,10.5,
dataTime,2007/9/8,
value,11.5,
dataTime,2007/9/9,
value,4.5,
dataTime,2007/9/10,
value,19,
dataTime,2007/9/11,
value,0,
dataTime,2007/9/12,
value,0,
dataTime,2007/9/13,
value,0,
dataTime,2007/9/14,
value,0,
dataTime,2007/9/15,
value,0,
dataTime,2007/9/16,
value,0,
dataTime,2007/9/17,
value,0,
dataTime,2007/9/18,
value,228.5,
dataTime,2007/9/19,
value,41,
dataTime,2007/9/20,
value,0.4,
dataTime,2007/9/21,
value,4.1,
dataTime,2007/9/22,
value,45,
dataTime,2007/9/23,
value,29.1,
dataTime,2007/9/24,
value,14.7,
dataTime,2007/9/25,
value,11.5,
dataTime,2007/9/26,
value,0,
dataTime,2007/9/27,
value,0.7,
dataTime,2007/9/28,
value,0,
dataTime,2007/9/29,
value,0.1,
dataTime,2007/9/30,
value,0.7,
parameterName,total,
parameterValue,500.8,
dataTime,2007/10/1,
value,2,
dataTime,2007/10/2,
value,0,
dataTime,2007/10/3,
value,0,
dataTime,2007/10/4,
value,0,
dataTime,2007/10/5,
value,18.8,
dataTime,2007/10/6,
value,353.4,
dataTime,2007/10/7,
value,162,
dataTime,2007/10/8,
value,9.8,
dataTime,2007/10/9,
value,0,
dataTime,2007/10/10,
value,0,
dataTime,2007/10/11,
value,0.5,
dataTime,2007/10/12,
value,15.4,
dataTime,2007/10/13,
value,0,
dataTime,2007/10/14,
value,2.2,
dataTime,2007/10/15,
value,0,
dataTime,2007/10/16,
value,0,
dataTime,2007/10/17,
value,0,
dataTime,2007/10/18,
value,0,
dataTime,2007/10/19,
value,0,
dataTime,2007/10/20,
value,0,
dataTime,2007/10/21,
value,0,
dataTime,2007/10/22,
value,0,
dataTime,2007/10/23,
value,0,
dataTime,2007/10/24,
value,0,
dataTime,2007/10/25,
value,0,
dataTime,2007/10/26,
value,0,
dataTime,2007/10/27,
value,0,
dataTime,2007/10/28,
value,0,
dataTime,2007/10/29,
value,0,
dataTime,2007/10/30,
value,8.8,
dataTime,2007/10/31,
value,1.2,
parameterName,total,
parameterValue,574.1,
dataTime,2007/11/1,
value,0,
dataTime,2007/11/2,
value,0,
dataTime,2007/11/3,
value,0,
dataTime,2007/11/4,
value,0,
dataTime,2007/11/5,
value,7.1,
dataTime,2007/11/6,
value,10.9,
dataTime,2007/11/7,
value,12.3,
dataTime,2007/11/8,
value,12.4,
dataTime,2007/11/9,
value,6.5,
dataTime,2007/11/10,
value,0,
dataTime,2007/11/11,
value,0,
dataTime,2007/11/12,
value,0,
dataTime,2007/11/13,
value,0,
dataTime,2007/11/14,
value,0,
dataTime,2007/11/15,
value,0,
dataTime,2007/11/16,
value,0,
dataTime,2007/11/17,
value,0,
dataTime,2007/11/18,
value,0,
dataTime,2007/11/19,
value,0,
dataTime,2007/11/20,
value,0,
dataTime,2007/11/21,
value,0,
dataTime,2007/11/22,
value,0,
dataTime,2007/11/23,
value,0,
dataTime,2007/11/24,
value,0,
dataTime,2007/11/25,
value,0.5,
dataTime,2007/11/26,
value,29,
dataTime,2007/11/27,
value,24,
dataTime,2007/11/28,
value,0,
dataTime,2007/11/29,
value,0,
dataTime,2007/11/30,
